city,state
Abohar,Punjab
Achalpur,Maharashtra
Adilabad,Andhra Pradesh
Adityapur,Jharkhand
Adoni,Andhra Pradesh
Agartala,Tripura
Agra,Uttar Pradesh
Ahmadabad,Gujarat
Ahmadnagar,Maharashtra
Aizawl,Mizoram
Ajmer,Rajasthan
Akbarpur,Uttar Pradesh
Akola,Maharashtra
Alandur,Tamil Nadu
Alappuzha,Kerala
Aligarh,Uttar Pradesh
Allahabad,Uttar Pradesh
Alwar,Rajasthan
Ambala,Haryana
Ambala Sadar,Haryana
Ambarnath,Maharashtra
Ambattur,Tamil Nadu
Ambikapur,Chhattisgarh
Ambur,Tamil Nadu
Amravati,Maharashtra
Amreli,Gujarat
Amritsar,Punjab
Amroha,Uttar Pradesh
Anand,Gujarat
Anantapur,Andhra Pradesh
Anantnag,Jammu & Kashmir
Arrah,Bihar
Asansol,West Bengal
Ashoknagar Kalyangarh,West Bengal
Aurangabad,Bihar
Aurangabad,Maharashtra
Avadi,Tamil Nadu
Azamgarh,Uttar Pradesh
Badlapur,Maharashtra
Bagaha,Bihar
Bagalkot,Karnataka
Bahadurgarh,Haryana
Baharampur,West Bengal
Bahraich,Uttar Pradesh
Baidyabati,West Bengal
Baleshwar Town,Orissa
Ballia,Uttar Pradesh
Bally,West Bengal
Bally City,West Bengal
Balurghat,West Bengal
Banda,Uttar Pradesh
Bankura,West Bengal
Bansberia,West Bengal
Banswara,Rajasthan
Baran,Rajasthan
Baranagar,West Bengal
Barasat,West Bengal
Baraut,Uttar Pradesh
Barddhaman,West Bengal
Bareilly,Uttar Pradesh
Baripada Town,Orissa
Barnala,Punjab
Barrackpur,West Bengal
Barshi,Maharashtra
Basirhat,West Bengal
Basti,Uttar Pradesh
Batala,Punjab
Bathinda,Punjab
Beawar,Rajasthan
Begusarai,Bihar
Belgaum,Karnataka
Bellary,Karnataka
Bengaluru,Karnataka
Bettiah,Bihar
Betul,Madhya Pradesh
Bhadrak,Orissa
Bhadravati,Karnataka
Bhadreswar,West Bengal
Bhagalpur,Bihar
Bhalswa Jahangir Pur,NCT of Delhi
Bharatpur,Rajasthan
Bharuch,Gujarat
Bhatpara,West Bengal
Bhavnagar,Gujarat
Bhilai Nagar,Chhattisgarh
Bhilwara,Rajasthan
Bhimavaram,Andhra Pradesh
Bhind,Madhya Pradesh
Bhiwadi,Rajasthan
Bhiwandi,Maharashtra
Bhiwani,Haryana
Bhopal,Madhya Pradesh
Bhubaneswar Town,Orissa
Bhuj,Gujarat
Bhusawal,Maharashtra
Bid,Maharashtra
Bidar,Karnataka
Bidhan Nagar,West Bengal
Biharsharif,Bihar
Bijapur,Karnataka
Bikaner,Rajasthan
Bilaspur,Chhattisgarh
Bokaro Steel City,Jharkhand
Bongaon,West Bengal
Botad,Gujarat
Brahmapur Town,Orissa
Budaun,Uttar Pradesh
Bulandshahr,Uttar Pradesh
Bundi,Rajasthan
Burari,NCT of Delhi
Burhanpur,Madhya Pradesh
Buxar,Bihar
Champdani,West Bengal
Chandannagar,West Bengal
Chandausi,Uttar Pradesh
Chandigarh,Chandigarh
Chandrapur,Maharashtra
Chapra,Bihar
Chas,Jharkhand
Chennai,Tamil Nadu
Chhattarpur,Madhya Pradesh
Chhindwara,Madhya Pradesh
Chikmagalur,Karnataka
Chilakaluripet,Andhra Pradesh
Chitradurga,Karnataka
Chittaurgarh,Rajasthan
Chittoor,Andhra Pradesh
Churu,Rajasthan
Coimbatore,Tamil Nadu
Cuddalore,Tamil Nadu
Cuttack,Orissa
Dabgram,West Bengal
Dallo Pura,NCT of Delhi
Damoh,Madhya Pradesh
Darbhanga,Bihar
Darjiling,West Bengal
Datia,Madhya Pradesh
Davanagere,Karnataka
Deesa,Gujarat
Dehradun,Uttarakhand
Dehri,Bihar
Delhi,NCT of Delhi
Delhi Cantonment,NCT of Delhi
Deoghar,Jharkhand
Deoli,NCT of Delhi
Deoria,Uttar Pradesh
Dewas,Madhya Pradesh
Dhanbad,Jharkhand
Dharmavaram,Andhra Pradesh
Dhaulpur,Rajasthan
Dhule,Maharashtra
Dibrugarh,Assam
Dimapur,Nagaland
Dinapur Nizamat,Bihar
Dindigul,Tamil Nadu
Dum Dum,West Bengal
Durg,Chhattisgarh
Durgapur,West Bengal
Eluru,Andhra Pradesh
English Bazar,West Bengal
Erode,Tamil Nadu
Etah,Uttar Pradesh
Etawah,Uttar Pradesh
Faizabad,Uttar Pradesh
Faridabad,Haryana
Farrukhabad-cum-Fatehgarh,Uttar Pradesh
Fatehpur,Uttar Pradesh
Firozabad,Uttar Pradesh
Firozpur,Punjab
Gadag-Betigeri,Karnataka
Gandhidham,Gujarat
Gandhinagar,Gujarat
Ganganagar,Rajasthan
Gangapur City,Rajasthan
Gangawati,Karnataka
Gaya,Bihar
Ghazipur,Uttar Pradesh
Giridih,Jharkhand
Godhra,Gujarat
Gokal Pur,NCT of Delhi
Gonda,Uttar Pradesh
Gondal,Gujarat
Gondiya,Maharashtra
Gorakhpur,Uttar Pradesh
Greater Hyderabad,Andhra Pradesh
Greater Mumbai,Maharashtra
Greater Noida,Uttar Pradesh
Gudivada,Andhra Pradesh
Gulbarga,Karnataka
Guna,Madhya Pradesh
Guntakal,Andhra Pradesh
Guntur,Andhra Pradesh
Gurgaon,Haryana
Guwahati,Assam
Gwalior,Madhya Pradesh
Habra,West Bengal
Hajipur,Bihar
Haldia,West Bengal
Haldwani-cum-Kathgodam,Uttarakhand
Halisahar,West Bengal
Hanumangarh,Rajasthan
Haora,West Bengal
Hapur,Uttar Pradesh
Hardoi,Uttar Pradesh
Hardwar,Uttarakhand
Hassan,Karnataka
Hastsal,NCT of Delhi
Hathras,Uttar Pradesh
Hazaribag,Jharkhand
Hindaun,Rajasthan
Hindupur,Andhra Pradesh
Hinganghat,Maharashtra
Hisar,Haryana
Hoshangabad,Madhya Pradesh
Hoshiarpur,Punjab
Hospet,Karnataka
Hosur,Tamil Nadu
Hubli-Dharwad,Karnataka
Hugli-Chinsurah,West Bengal
Ichalkaranji,Maharashtra
Imphal,Manipur
Indore,Madhya Pradesh
Jabalpur,Madhya Pradesh
Jagadhri,Haryana
Jagdalpur,Chhattisgarh
Jaipur,Rajasthan
Jalandhar,Punjab
Jalgaon,Maharashtra
Jalna,Maharashtra
Jalpaiguri,West Bengal
Jamalpur,Bihar
Jammu,Jammu & Kashmir
Jamnagar,Gujarat
Jamshedpur,Jharkhand
Jamuria,West Bengal
Jaunpur,Uttar Pradesh
Jehanabad,Bihar
Jetpur Navagadh,Gujarat
Jhansi,Uttar Pradesh
Jhunjhunun,Rajasthan
Jind,Haryana
Jodhpur,Rajasthan
Junagadh,Gujarat
Kadapa,Andhra Pradesh
Kaithal,Haryana
Kakinada,Andhra Pradesh
Kalol,Gujarat
Kalyani,West Bengal
Kamarhati,West Bengal
Kancheepuram,Tamil Nadu
Kanchrapara,West Bengal
Kanpur,Uttar Pradesh
Kanpur City,Uttar Pradesh
Karaikkudi,Tamil Nadu
Karawal Nagar,NCT of Delhi
Karimnagar,Andhra Pradesh
Karnal,Haryana
Kasganj,Uttar Pradesh
Kashipur,Uttarakhand
Katihar,Bihar
Khammam,Andhra Pradesh
Khandwa,Madhya Pradesh
Khanna,Punjab
Kharagpur,West Bengal
Khardaha,West Bengal
Khargone,Madhya Pradesh
Khora,Uttar Pradesh
Khurja,Uttar Pradesh
Kirari Suleman Nagar,NCT of Delhi
Kishanganj,Bihar
Kishangarh,Rajasthan
Kochi,Kerala
Kolar,Karnataka
Kolhapur,Maharashtra
Kolkata,West Bengal
Kollam,Kerala
Korba,Chhattisgarh
Kota,Rajasthan
Kozhikode,Kerala
Krishnanagar,West Bengal
Kulti,West Bengal
Kumbakonam,Tamil Nadu
Kurichi,Tamil Nadu
Kurnool,Andhra Pradesh
Lakhimpur,Uttar Pradesh
Lalitpur,Uttar Pradesh
Latur,Maharashtra
Loni,Uttar Pradesh
Lucknow,Uttar Pradesh
Ludhiana,Punjab
Machilipatnam,Andhra Pradesh
Madanapalle,Andhra Pradesh
Madavaram,Tamil Nadu
Madhyamgram,West Bengal
Madurai,Tamil Nadu
Mahbubnagar,Andhra Pradesh
Mahesana,Gujarat
Maheshtala,West Bengal
Mainpuri,Uttar Pradesh
Malegaon,Maharashtra
Malerkotla,Punjab
Mandoli,NCT of Delhi
Mandsaur,Madhya Pradesh
Mandya,Karnataka
Mangalore,Karnataka
Mango,Jharkhand
Mathura,Uttar Pradesh
Maunath Bhanjan,Uttar Pradesh
Medinipur,West Bengal
Meerut,Uttar Pradesh
Mira Bhayander,Maharashtra
Miryalaguda,Andhra Pradesh
Mirzapur-cum-Vindhyachal,Uttar Pradesh
Modinagar,Uttar Pradesh
Moga,Punjab
Moradabad,Uttar Pradesh
Morena,Madhya Pradesh
Morvi,Gujarat
Motihari,Bihar
Mughalsarai,Uttar Pradesh
Muktsar,Punjab
Munger,Bihar
Murwara,Madhya Pradesh
Mustafabad,NCT of Delhi
Muzaffarnagar,Uttar Pradesh
Muzaffarpur,Bihar
Mysore,Karnataka
Nabadwip,West Bengal
Nadiad,Gujarat
Nagaon,Assam
Nagapattinam,Tamil Nadu
Nagaur,Rajasthan
Nagda,Madhya Pradesh
Nagercoil,Tamil Nadu
Nagpur,Maharashtra
Naihati,West Bengal
Nalgonda,Andhra Pradesh
Nanded Waghala,Maharashtra
Nandurbar,Maharashtra
Nandyal,Andhra Pradesh
Nangloi Jat,NCT of Delhi
Narasaraopet,Andhra Pradesh
Nashik,Maharashtra
Navi Mumbai,Maharashtra
Navi Mumbai Panvel Raigarh,Maharashtra
Navsari,Gujarat
Neemuch,Madhya Pradesh
Nellore,Andhra Pradesh
New Delhi,NCT of Delhi
Neyveli,Tamil Nadu
Nizamabad,Andhra Pradesh
Noida,Uttar Pradesh
North Barrackpur,West Bengal
North Dum Dum,West Bengal
Ongole,Andhra Pradesh
Orai,Uttar Pradesh
Osmanabad,Maharashtra
Ozhukarai,Puducherry
Palakkad,Kerala
Palanpur,Gujarat
Pali,Rajasthan
Pallavaram,Tamil Nadu
Palwal,Haryana
Panchkula,Haryana
Panihati,West Bengal
Panipat,Haryana
Panvel,Maharashtra
Parbhani,Maharashtra
Patan,Gujarat
Pathankot,Punjab
Patiala,Punjab
Patna,Bihar
Pilibhit,Uttar Pradesh
Pimpri Chinchwad,Maharashtra
Pithampur,Madhya Pradesh
Porbandar,Gujarat
Port Blair,Andaman & Nicobar Islands
Proddatur,Andhra Pradesh
Puducherry,Puducherry
Pudukkottai,Tamil Nadu
Pune,Maharashtra
Puri,Orissa
Purnia,Bihar
Puruliya,West Bengal
Rae Bareli,Uttar Pradesh
Raichur,Karnataka
Raiganj,West Bengal
Raigarh,Chhattisgarh
Raipur,Chhattisgarh
Rajahmundry,Andhra Pradesh
Rajapalayam,Tamil Nadu
Rajarhat Gopalpur,West Bengal
Rajkot,Gujarat
Rajnandgaon,Chhattisgarh
Rajpur Sonarpur,West Bengal
Ramagundam,Andhra Pradesh
Rampur,Uttar Pradesh
Ranchi,Jharkhand
Ranibennur,Karnataka
Raniganj,West Bengal
Ratlam,Madhya Pradesh
Raurkela Industrial Township,Orissa
Raurkela Town,Orissa
Rewa,Madhya Pradesh
Rewari,Haryana
Rishra,West Bengal
Robertson Pet,Karnataka
Rohtak,Haryana
Roorkee,Uttarakhand
Rudrapur,Uttarakhand
S.A.S. Nagar,Punjab
Sagar,Madhya Pradesh
Saharanpur,Uttar Pradesh
Saharsa,Bihar
Salem,Tamil Nadu
Sambalpur,Orissa
Sambhal,Uttar Pradesh
Sangli Miraj Kupwad,Maharashtra
Santipur,West Bengal
Sasaram,Bihar
Satara,Maharashtra
Satna,Madhya Pradesh
Sawai Madhopur,Rajasthan
Secunderabad,Andhra Pradesh
Sehore,Madhya Pradesh
Seoni,Madhya Pradesh
Serampore,West Bengal
Shahjahanpur,Uttar Pradesh
Shamli,Uttar Pradesh
Shikohabad,Uttar Pradesh
Shillong,Meghalaya
Shimla,Himachal Pradesh
Shimoga,Karnataka
Shivpuri,Madhya Pradesh
Sikar,Rajasthan
Silchar,Assam
Siliguri,West Bengal
Singrauli,Madhya Pradesh
Sirsa,Haryana
Sitapur,Uttar Pradesh
Siwan,Bihar
Solapur,Maharashtra
Sonipat,Haryana
South Dum Dum,West Bengal
Srikakulam,Andhra Pradesh
Srinagar,Jammu & Kashmir
Sujangarh,Rajasthan
Sultan Pur Majra,NCT of Delhi
Sultanpur,Uttar Pradesh
Surat,Gujarat
Surendranagar Dudhrej,Gujarat
Suryapet,Andhra Pradesh
Tadepalligudem,Andhra Pradesh
Tadpatri,Andhra Pradesh
Tambaram,Tamil Nadu
Tenali,Andhra Pradesh
Thane,Maharashtra
Thanesar,Haryana
Thanjavur,Tamil Nadu
Thiruvananthapuram,Kerala
Thoothukkudi,Tamil Nadu
Thrissur,Kerala
Tiruchirappalli,Tamil Nadu
Tirunelveli,Tamil Nadu
Tirupati,Andhra Pradesh
Tiruppur,Tamil Nadu
Tiruvannamalai,Tamil Nadu
Tiruvottiyur,Tamil Nadu
Titagarh,West Bengal
Tonk,Rajasthan
Tumkur,Karnataka
Udaipur,Rajasthan
Udgir,Maharashtra
Udupi,Karnataka
Ujjain,Madhya Pradesh
Ulhasnagar,Maharashtra
Uluberia,West Bengal
Unnao,Uttar Pradesh
Uttarpara Kotrung,West Bengal
Vadodara,Gujarat
Valsad,Gujarat
Varanasi,Uttar Pradesh
Vasai Virar City,Maharashtra
Vellore,Tamil Nadu
Veraval,Gujarat
Vidisha,Madhya Pradesh
Vijayawada,Andhra Pradesh
Visakhapatnam,Andhra Pradesh
Vizianagaram,Andhra Pradesh
Warangal,Andhra Pradesh
Wardha,Maharashtra
Yamunanagar,Haryana
Yavatmal,Maharashtra
